1659726000,Crystal Palace,0,Arsenal,2
1659785400,Fulham,2,Liverpool,2
1659794400,Bournemouth,2,Aston Villa,0
1659794400,Leeds,2,Wolves,1
1659877200,Leicester,2,Brentford,2
1659794400,Newcastle,2,Nottingham Forest,0
1659794400,Tottenham,4,Southampton,1
1659803400,Everton,0,Chelsea,1
1659877200,Manchester United,1,Brighton,2
1659886200,West Ham,0,Manchester City,2
1660399200,Arsenal,4,Leicester,2
1660390200,Aston Villa,2,Everton,1
1660408200,Brentford,4,Manchester United,0
1660399200,Brighton,0,Newcastle,0
1660491000,Chelsea,2,Tottenham,2
1660590000,Liverpool,1,Crystal Palace,1
1660399200,Manchester City,4,Bournemouth,0
1660482000,Nottingham Forest,1,West Ham,0
1660399200,Southampton,2,Leeds,2
1660399200,Wolves,0,Fulham,0
1661013000,Bournemouth,0,Arsenal,3
1661004000,Crystal Palace,3,Aston Villa,1
1661004000,Everton,1,Nottingham Forest,1
1661004000,Fulham,3,Brentford,2
1661086800,Leeds,3,Chelsea,0
1661004000,Leicester,1,Southampton,2
1661194800,Manchester United,2,Liverpool,1
1661095800,Newcastle,3,Manchester City,3
1660995000,Tottenham,1,Wolves,0
1661086800,West Ham,0,Brighton,2
1661617800,Arsenal,2,Fulham,1
1661691600,Aston Villa,0,West Ham,1
1661608800,Brentford,1,Everton,1
1661608800,Brighton,1,Leeds,0
1661608800,Chelsea,2,Leicester,1
1661608800,Liverpool,9,Bournemouth,0
1661608800,Manchester City,4,Crystal Palace,2
1661700600,Nottingham Forest,0,Tottenham,2
1661599800,Southampton,0,Manchester United,1
1661691600,Wolves,1,Newcastle,1
1661970600,Bournemouth,0,Wolves,0
1661970600,Arsenal,2,Aston Villa,1
1661884200,Fulham,2,Brighton,1
1661886000,Leeds,1,Everton,1
1662058800,Leicester,0,Manchester United,1
1661971500,West Ham,1,Tottenham,1
1661884200,Crystal Palace,1,Brentford,1
1661885100,Southampton,2,Chelsea,1
1661972400,Liverpool,2,Newcastle,1
1661970600,Manchester City,6,Nottingham Forest,0
1662222600,Aston Villa,1,Manchester City,1
1662213600,Brentford,5,Leeds,2
1662296400,Brighton,5,Leicester,2
1662213600,Chelsea,2,West Ham,1
1662204600,Everton,0,Liverpool,0
1662305400,Manchester United,3,Arsenal,1
1662213600,Newcastle,0,Crystal Palace,0
1662213600,Nottingham Forest,2,Bournemouth,3
1662213600,Tottenham,2,Fulham,1
1662213600,Wolves,1,Southampton,0
1677699900,Arsenal,4,Everton,0
1674072000,Crystal Palace,1,Manchester United,1
1673553600,Fulham,2,Chelsea,1
1677700800,Liverpool,2,Wolves,0
1674158400,Manchester City,4,Tottenham,2
1663354800,Aston Villa,1,Southampton,0
1663498800,Brentford,0,Arsenal,3
1663506900,Everton,1,West Ham,0
1675886400,Manchester United,2,Leeds,2
1663423200,Newcastle,1,Bournemouth,1
1663354800,Nottingham Forest,2,Fulham,3
1663432200,Tottenham,6,Leicester,2
1663414200,Wolves,0,Manchester City,3
1664632800,Bournemouth,0,Brentford,0
1664623800,Arsenal,3,Tottenham,1
1664632800,Crystal Palace,1,Chelsea,2
1664632800,Fulham,1,Newcastle,4
1664724600,Leeds,0,Aston Villa,0
1664823600,Leicester,4,Nottingham Forest,0
1664632800,Liverpool,3,Brighton,3
1664715600,Manchester City,6,Manchester United,3
1664632800,Southampton,1,Everton,2
1664641800,West Ham,2,Wolves,0
1665237600,Bournemouth,2,Leicester,1
1665329400,Arsenal,3,Liverpool,2
1665246600,Brighton,0,Tottenham,1
1665237600,Chelsea,3,Wolves,0
1665320400,Crystal Palace,2,Leeds,1
1665338400,Everton,1,Manchester United,2
1665237600,Manchester City,4,Southampton,0
1665237600,Newcastle,5,Brentford,1
1665428400,Nottingham Forest,1,Aston Villa,1
1665320400,West Ham,3,Fulham,1
